id_local,nombre,categoria,direccion,barrio,comuna
1172,LIGHTS COFFEE,RESTAURANTE,DIRECTORIO AV. 2800,Flores,Comuna 7
2020,LIGURE,RESTAURANTE,JUNCAL 855,Retiro,Comuna 1
1436,LIMONCELLO,CAFE,BALCARCE 601,Monserrat,Comuna 1
2369,LIMON TREE,CAFE,SUIPACHA 544,San Nicolas,Comuna 1
284,LINA,RESTAURANTE,CABELLO 3419,Palermo,Comuna 14
1274,LISANDRO,RESTAURANTE,"FALCON, RAMON L.,CNEL. 6701",Liniers,Comuna 9
2370,LITO'S,RESTAURANTE,LAVALLE 966,San Nicolas,Comuna 1
285,LIZZIES,RESTAURANTE,DEL LIBERTADOR AV. 3457,Palermo,Comuna 14
1273,LLANTAMASI,RESTAURANTE,"PAZ, GRAL. AV. 10870",Liniers,Comuna 9
523,LOBOS,RESTAURANTE,CRAMER AV. 2837,Belgrano,Comuna 13
1020,LOCA BOHEMIA,RESTAURANTE,LA PLATA AV. 727,Caballito,Comuna 6
2074,LOCHER CAFE + BAR,CAFE,PAROISSIEN 3845,Saavedra,Comuna 12
1540,LOCOS DE ASAR,RESTAURANTE,"PERON, EVA AV. 1790",Parque Chacabuco,Comuna 7
1817,LOCOS X EL FUTBOL,RESTAURANTE,"LOPEZ, VICENTE 2098",Recoleta,Comuna 2
1019,LOCOS X EL FUTBOL,RESTAURANTE,RIVADAVIA AV. 4751,Caballito,Comuna 6
1435,LO DE AGUSTINA,CAFE,MORENO 112,Monserrat,Comuna 1
2372,LO DE ANTONIO,RESTAURANTE,ESMERALDA 270,San Nicolas,Comuna 1
2825,Lo de Carlitos - Villa del Parque,RESTAURANTE,NOGOYA 3058,Villa Del Parque,Comuna 11
2824,Lo de Carlitos - Villa Urquiza,RESTAURANTE,OLAZABAL AV. 5001,Villa Urquiza,Comuna 12
2763,LO DE CHARLY,RESTAURANTE,ALVAREZ THOMAS AV. y DONADO,Villa Ortuzar,Comuna 15
1018,LO DE CHOLO,RESTAURANTE,GAONA AV. 1699,Caballito,Comuna 6
522,LO DE GUERRA,RESTAURANTE,VUELTA DE OBLIGADO 2391,Belgrano,Comuna 13
2678,LO DE JESUS,,"BELAUSTEGUI, LUIS, Dr. 400",Villa Crespo,Comuna 15
287,LO DE JESUS,RESTAURANTE,GURRUCHAGA 1406,Palermo,Comuna 14
1437,LO DE JULIAN,RESTAURANTE,MORENO 105,Monserrat,Comuna 1
286,LO DE LOLA,RESTAURANTE,URIARTE 1697,Palermo,Comuna 14
2371,LO DE LOPEZ,RESTAURANTE,CORRIENTES AV. 626,San Nicolas,Comuna 1
1576,LO DEL TANO,RESTAURANTE,15 DE NOVIEMBRE DE 1889 2602,Parque Patricios,Comuna 4
917,LO DE MARIO,,ISABEL LA CATOLICA 470,Barracas,Comuna 4
1815,LO DE MATEO,CAFE,AUSTRIA 2400,Recoleta,Comuna 2
640,LO DE OSCAR,RESTAURANTE,INDEPENDENCIA AV. 3925,Almagro,Comuna 5
288,LO DE PUEYRREDON,RESTAURANTE,ARMENIA 1378,Palermo,Comuna 14
1440,LO DE RAUL,RESTAURANTE,CHILE AV. 369,Monserrat,Comuna 1
524,LOISIC,RESTAURANTE,JURAMENTO AV. 2502,Belgrano,Comuna 13
1816,LOLA,RESTAURANTE,"ORTIZ, ROBERTO M., Pres. 1805",Recoleta,Comuna 2
1174,LOLA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 3100",Flores,Comuna 7
1619,LOLA MORA,RESTAURANTE,MANSO JUANA 460,Puerto Madero,Comuna 1
290,LOMO,RESTAURANTE,COSTA RICA 4661,Palermo,Comuna 14
2374,LO NUESTRO,RESTAURANTE,TUCUMAN 646,San Nicolas,Comuna 1
1438,LO RAFAEL,RESTAURANTE,MEXICO 1501,Monserrat,Comuna 1
2375,LORENA BAR,RESTAURANTE,SAN MARTIN 679,San Nicolas,Comuna 1
289,LO ROMUALDO,RESTAURANTE,FITZ ROY 1574,Palermo,Comuna 14
2075,LOR SOL,CAFE,"LARRALDE, CRISOLOGO AV. 2435",Saavedra,Comuna 12
1175,LOS AMIGOS,RESTAURANTE,"PERON, EVA AV. 3391",Flores,Comuna 7
2762,LOS AMIGOS,RESTAURANTE,TRIUNVIRATO AV. 3899,Villa Ortuzar,Comuna 15
2747,LOS AMIGOS,BAR,ZELARRAYAN 4796,Villa Lugano,Comuna 8
2376,LOS AMIGOS DE CARLITOS,RESTAURANTE,"SAENZ PEÃƒâ€˜A, ROQUE, PRES. AV. 519",San Nicolas,Comuna 1
1307,LOS AMIGOS DE SIEMPRE,RESTAURANTE,"DE LA TORRE, LISANDRO 1731",Mataderos,Comuna 9
817,LOS ANDES,RESTAURANTE,RIVADAVIA AV. 2235,Balvanera,Comuna 3
816,LOS ASTROS,RESTAURANTE,LAVALLE 2020,Balvanera,Comuna 3
1574,LOS CAMIONEROS,RESTAURANTE,LUNA 105,Parque Patricios,Comuna 4
919,LOS CAMPEONES,,"MONTES DE OCA, MANUEL 856",Barracas,Comuna 4
1021,LOS CAPITELES DE GOYENA,RESTAURANTE,"GOYENA, PEDRO AV. 301",Caballito,Comuna 6
2693,LOS CAZADORES,RESTAURANTE,ALVAREZ JONTE AV. 3199,Villa Del Parque,Comuna 11
1176,LOS CEDROS,RESTAURANTE,"ALVAREZ, DONATO, Tte. Gral. 900",Flores,Comuna 7
1022,LOS CHANCHITOS,RESTAURANTE,"GALLARDO, ANGEL AV. 601",Villa Crespo,Comuna 15
1177,LOS CHICOS,RESTAURANTE,SAN PEDRITO AV. 198,Flores,Comuna 7
1441,LOS CHICOS,RESTAURANTE,ENTRE RIOS AV. 118,Monserrat,Comuna 1
224,Los Chinos,RESTAURANTE,"LACROZE, FEDERICO AV. 2121",Palermo,Comuna 14
291,LOS DIOSES,CONFITERIA,MAIPU 371,San Nicolas,Comuna 1
2599,LOS DOS CHINOS,RESTAURANTE,BRASIL 780,San Telmo,Comuna 1
2377,LOS ESTUDIANTES,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 683,San Nicolas,Comuna 1
2378,LOS FAROLITOS,RESTAURANTE,"MITRE, BARTOLOME 1301",San Nicolas,Comuna 1
2379,LOS GALGOS,RESTAURANTE,LAVALLE 1791,San Nicolas,Comuna 1
920,LOS GURISES,RESTAURANTE,PERDRIEL 35,Barracas,Comuna 4
2380,LOS INMORTALES,RESTAURANTE,CORRIENTES AV. 1369,San Nicolas,Comuna 1
1090,LOS LEÃƒâ€˜OS,RESTAURANTE,MONROE 3901,Villa Urquiza,Comuna 12
2381,LOS LEONCITOS,RESTAURANTE,"ALEM, LEANDRO N. AV. 92",San Nicolas,Comuna 1
2653,LOS LEONES,RESTAURANTE,"MAGARIÃƒâ€˜OS CERVANTES, A. 5699",Versalles,Comuna 10
1819,LOS MOLINOS,CAFE,SANTA FE AV. 2202,Recoleta,Comuna 2
2679,LOS NIETOS,,"PUEYRREDON, HONORIO, DR. AV. 1695",Villa Crespo,Comuna 15
643,LOS ORIENTALES,RESTAURANTE,RIVADAVIA AV. 3981,Almagro,Comuna 5
1577,LOS PATRICIOS,RESTAURANTE,LA RIOJA 1849,Parque Patricios,Comuna 4
1821,LOS PINOS,CAFE,AZCUENAGA 1500,Recoleta,Comuna 2
2382,LOS PIRINEOS,CAFE,LAVALLE 1701,San Nicolas,Comuna 1
1820,LOS PORTEÃƒâ€˜OS,CAFE,LAS HERAS GENERAL AV. 2101,Recoleta,Comuna 2
1024,LOS PORTUGUESES,RESTAURANTE,"GALLARDO, ANGEL AV. 800",Caballito,Comuna 6
1507,LOS SAUCES,RESTAURANTE,CABILDO AV. 4601,NuÃƒÂ±ez,Comuna 13
2721,LOS SOLES,PUB,SAN MARTIN AV. 6155,Agronomia,Comuna 15
1575,LOS TINTIN,RESTAURANTE,BRASIL 2302,Parque Patricios,Comuna 4
1306,LOS TULUMBANOS,RESTAURANTE,DIRECTORIO AV. 6779,Mataderos,Comuna 9
2384,LOS UNICOS,CAFE,PARANA 634,San Nicolas,Comuna 1
1822,LOTOS,CAFE,CORDOBA AV. 1577,Recoleta,Comuna 2
293,LOTUS NEO THAI,RESTAURANTE,ORTEGA Y GASSET 1782,Palermo,Comuna 14
595,LUCIANA,,ZABALA 2605,Colegiales,Comuna 13
525,LUCIANA,RESTAURANTE,AMENABAR 1202,Colegiales,Comuna 13
2383,LUCIERNAGA,RESTAURANTE,"PELLEGRINI, CARLOS 551",San Nicolas,Comuna 1
294,LUCIO,RESTAURANTE,GUEMES 4019,Palermo,Comuna 14
